SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
8	1	1	1	46003	626	0.50355891988147050142	0	1	926.29681200196500868	0	NaN	NaN	0	1	1	0	1	0
8	1	1	2	57484	5013	0.50360522489063441753	0	1	659.30428700085030869	0	NaN	NaN	0	1	1	0	1	0
8	1	1	3	41828	4850	0.5036515059182420373	0	1	962.78565899410750717	0	NaN	NaN	0	1	1	0	1	0
8	1	1	4	69686	8823	0.50369781197514384985	0	1	606.46586400252999738	0	NaN	NaN	0	1	1	0	1	0
8	1	1	5	56548	9538	0.5037440968444570899	0	1	658.05632699630223215	0	NaN	NaN	0	1	1	0	1	0
8	1	1	6	23851	6061	0.50379040243569761515	0	1	480.49295899545541033	0	NaN	NaN	0	1	1	0	1	0
8	1	1	7	39892	4421	0.50383668404538184404	0	1	820.1991199966869317	0	NaN	NaN	0	1	1	0	1	0
8	1	1	8	51242	3858	0.50388287694659084082	0	1	547.71840100147528574	0	NaN	NaN	0	1	1	0	1	0
8	1	1	9	37851	8124	0.50392917660064995289	0	1	603.45457000221358612	0	NaN	NaN	0	1	1	0	1	0
8	1	1	10	11940	4843	0.50397547066677361727	0	1	534.90058600436896086	0	NaN	NaN	0	1	1	0	1	0
8	1	1	11	56319	7941	0.50402175600174814463	0	1	502.31742100004339591	0	NaN	NaN	0	1	1	0	1	0
8	1	1	12	20910	4523	0.50406804925296455622	0	1	888.59653200051980093	0	NaN	NaN	0	1	1	0	1	0
8	1	1	13	37466	1070	0.50416064646560698748	0	1	543.82782400352880359	0	NaN	NaN	0	1	1	0	1	0
8	1	1	14	40489	9588	0.50420693994965404272	0	1	505.28716499684378505	0	NaN	NaN	0	1	1	0	1	0
8	1	1	15	34259	4623	0.50425323483068495989	0	1	666.59444700053427368	0	NaN	NaN	0	1	1	0	1	0
8	1	1	16	21548	3185	0.50429952901322394609	0	1	577.89399699686327949	0	NaN	NaN	0	1	1	0	1	0
8	1	1	17	40007	4586	0.50434582342859357595	0	1	707.31778200570261106	0	NaN	NaN	0	1	1	0	1	0
8	1	1	18	69976	1009	0.50439211889170110226	0	1	858.81050299940397963	0	NaN	NaN	0	1	1	0	1	0
8	1	1	19	879	8634	0.50443840888328850269	0	1	813.21105200186138973	0	NaN	NaN	0	1	1	0	1	0
8	1	1	20	7579	9648	0.50448470329865813255	0	1	685.09035600436618552	0	NaN	NaN	0	1	1	0	1	0
8	1	1	21	64882	9425	0.50453099096193909645	0	1	657.29761300462996587	0	NaN	NaN	0	1	1	0	1	0
8	1	1	22	64992	1344	0.50457729271147400141	0	1	602.84406100254273042	0	NaN	NaN	0	1	1	0	1	0
8	1	1	23	54123	7441	0.50466987607069313526	0	1	722.76998499728506431	0	NaN	NaN	0	1	1	0	1	0
8	1	1	24	66060	3902	0.50471617362927645445	0	0	2402.8429649988538586	0	NaN	NaN	0	0	0	1	2	0
8	1	1	25	72499	8795	0.50476246199104934931	0	1	1013.2962650022818707	0	NaN	NaN	0	1	1	0	1	0
8	1	1	26	38500	1840	0.50480876676738262177	0	1	802.33552899881033227	0	NaN	NaN	0	1	1	0	1	0
8	1	1	27	20279	1356	0.5048550580395385623	0	1	1040.3284339990932494	0	NaN	NaN	0	1	1	0	1	0
8	1	1	28	30298	5506	0.50490135361906141043	0	1	627.90053399658063427	0	NaN	NaN	0	1	1	0	1	0
8	1	1	29	48618	666	0.50494763918686658144	0	1	1016.1324049986433238	0	NaN	NaN	0	1	1	0	1	0
8	1	1	30	58177	8240	0.50499393988866358995	0	1	859.51207600010093302	0	NaN	NaN	0	1	1	0	1	0
8	1	1	31	25495	7232	0.50504022883251309395	0	1	1142.3136999947018921	0	NaN	NaN	0	1	1	0	1	0
8	1	1	32	1779	5691	0.50508652860298752785	0	1	992.24825499550206587	0	NaN	NaN	0	1	1	0	1	0
8	1	1	33	34944	6661	0.50513271859381347895	0	1	809.73327600077027455	0	NaN	NaN	0	1	1	0	1	0
8	1	1	34	8842	2400	0.50517901591956615448	0	1	845.79022300022188574	0	NaN	NaN	0	1	1	0	1	0
8	1	1	35	25910	2252	0.50527160800993442535	0	1	632.5920369999948889	0	NaN	NaN	0	1	1	0	1	0
8	1	1	36	44981	612	0.50531790219247341156	0	1	684.92006800079252571	0	NaN	NaN	0	1	1	0	1	0
8	1	1	37	72724	1609	0.50536419602576643229	0	1	614.03889099892694503	0	NaN	NaN	0	1	1	0	1	0
8	1	1	38	31950	3579	0.50541048240847885609	0	1	518.84413000516360626	0	NaN	NaN	0	1	1	0	1	0
8	1	1	39	3887	1703	0.50545678508933633566	0	1	741.88147199311060831	0	NaN	NaN	0	1	1	0	1	0
8	1	1	40	31577	9976	0.50550307799130678177	0	1	702.27653699839720502	0	NaN	NaN	0	1	1	0	1	0
8	1	1	41	14325	5770	0.50554936996195465326	0	1	457.20012600213522092	0	NaN	NaN	0	1	1	0	1	0
8	1	1	42	11606	8748	0.50559566705487668514	0	1	426.28979699657065794	0	NaN	NaN	0	1	1	0	1	0
8	1	1	43	63754	9202	0.5056419523898512125	0	1	704.65268999396357685	0	NaN	NaN	0	1	1	0	1	0
8	1	1	44	10903	3123	0.50568825006484985352	0	1	628.23060899972915649	0	NaN	NaN	0	1	1	0	1	0
