SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
7	1	1	1	46003	626	0.59601599001325666904	0	1	1653.6348990002807113	0	NaN	NaN	0	1	1	0	1	0
7	1	1	2	16507	5013	0.59606228512711822987	0	1	620.89101599940477172	0	NaN	NaN	0	1	1	0	1	0
7	1	1	3	9387	4850	0.59610857977531850338	0	1	551.29557800046313787	0	NaN	NaN	0	1	1	0	1	0
7	1	1	4	19212	8823	0.5961548839695751667	0	1	624.68524599989905255	0	NaN	NaN	0	1	1	0	1	0
7	1	1	5	19178	9538	0.59620116662699729204	0	0	828.54461099941545399	0	NaN	NaN	0	0	0	1	2	0
7	1	1	6	71795	6061	0.59624747186899185181	0	1	547.16700199969636742	0	NaN	NaN	0	1	1	0	1	0
7	1	1	7	24408	4421	0.59629374882206320763	0	1	534.39102099946467206	0	NaN	NaN	0	1	1	0	1	0
7	1	1	8	47969	3858	0.59634005348198115826	0	1	659.64203200019255746	0	NaN	NaN	0	1	1	0	1	0
7	1	1	9	851	8124	0.59638634591829031706	0	1	516.49322100001882063	0	NaN	NaN	0	1	1	0	1	0
7	1	1	10	38353	4843	0.5964326484827324748	0	1	487.68384999948466429	0	NaN	NaN	0	1	1	0	1	0
7	1	1	11	64761	7941	0.59647893637884408236	0	1	644.17446800052857725	0	NaN	NaN	0	1	1	0	1	0
7	1	1	12	55696	4523	0.59652523230761289597	0	1	642.25799500036373502	0	NaN	NaN	0	1	1	0	1	0
7	1	1	13	23188	1070	0.59661781275644898415	0	1	602.54272799920727266	0	NaN	NaN	0	1	1	0	1	0
7	1	1	14	17279	9588	0.59666410414502024651	0	1	522.75256299981265329	0	NaN	NaN	0	1	1	0	1	0
7	1	1	15	28972	4623	0.59671039565000683069	0	1	426.45788600020750891	0	NaN	NaN	0	1	1	0	1	0
